Tipo;Distrito;Cuartos;Vacantes;Suites;Area;Valor;Mantenimiento;Valor bruto;Valor por m2;Valor bruto por m2;Tipo agrupado
Casa;Ate;5;4;5;890;17000.0;2500.0;22000.0;19.1;24.72;Casa
Casa;Callao;4;4;1;300;4500.0;0.0;4500.0;15.0;15.0;Casa
Casa;Ate;6;1;0;425;13000.0;0.0;13580.0;30.59;31.95;Casa
Casa;Lince;3;1;0;120;2800.0;0.0;2800.0;23.33;23.33;Casa
Casa;Pueblo Libre;6;1;0;750;18000.0;0.0;19200.0;24.0;25.6;Casa
Casa;Santiago de Surco;6;5;5;1000;13000.0;0.0;13000.0;13.0;13.0;Casa
Casa;Lince;2;1;0;80;1200.0;0.0;1200.0;15.0;15.0;Casa
Casa;Ate;5;4;2;600;8000.0;0.0;8000.0;13.33;13.33;Casa
Casa;Cieneguilla;3;1;0;69;1600.0;0.0;1600.0;23.19;23.19;Casa
Casa;Lurín;3;2;1;317;5000.0;0.0;7221.0;15.77;22.78;Casa
Casa;Ate;2;1;0;60;1050.0;0.0;1055.0;17.5;17.58;Casa
Casa;Santiago de Surco;5;4;3;350;16000.0;0.0;16500.0;45.71;47.14;Casa
Casa;Pueblo Libre;2;0;0;60;800.0;0.0;800.0;13.33;13.33;Casa
Casa;Chorrillos;3;0;1;159;1400.0;0.0;1500.0;8.81;9.43;Casa
Casa;Santa María del Mar;2;0;0;100;2500.0;0.0;2500.0;25.0;25.0;Casa
Casa;San Miguel;2;0;0;50;2100.0;100.0;2200.0;42.0;44.0;Casa
Casa;Lince;2;1;0;60;1500.0;0.0;1500.0;25.0;25.0;Casa
Casa;Santiago de Surco;1;0;0;40;900.0;0.0;900.0;22.5;22.5;Casa
Casa;La Perla;4;4;2;450;14000.0;0.0;21200.0;31.11;47.11;Casa
Casa;Lince;2;1;0;70;1000.0;0.0;1000.0;14.29;14.29;Casa
Casa;Ventanilla;2;0;0;96;2000.0;0.0;2040.0;20.83;21.25;Casa
Casa;Independencia;2;0;0;80;950.0;0.0;950.0;11.88;11.88;Casa
Casa;Lince;3;0;2;120;1000.0;0.0;1000.0;8.33;8.33;Casa
Casa;Lima;3;1;0;102;2100.0;0.0;3300.0;20.59;32.35;Casa
Casa;La Perla;4;2;3;250;16000.0;0.0;16400.0;64.0;65.6;Casa
Casa;Independencia;1;0;0;40;800.0;0.0;800.0;20.0;20.0;Casa
Casa;Callao;3;2;0;213;2700.0;510.0;3400.0;12.68;15.96;Casa
Casa;Lince;4;5;1;596;4000.0;0.0;11627.0;6.71;19.51;Casa
